,Name,Chamber,bioguide_id,2025 Cook PVI Number
0,Katie Boyd Britt,Senate,B001319,14.81
1,Tommy Tuberville,Senate,T000278,14.81
2,Lisa Murkowski,Senate,M001153,6.46
3,Dan Sullivan,Senate,S001198,6.46
4,Ruben Gallego,Senate,G000574,0
5,Mark Kelly,Senate,K000377,0
6,John Boozman,Senate,B001236,15.31
7,Tom Cotton,Senate,C001095,15.31
8,Alex Padilla,Senate,P000145,11.52
9,Adam B. Schiff,Senate,S001150,11.52
10,Michael F. Bennet,Senate,B001267,5.96
11,John W. Hickenlooper,Senate,H000273,5.96
12,Richard Blumenthal,Senate,B001277,8.08
13,Christopher Murphy,Senate,M001169,8.08
14,Lisa Blunt Rochester,Senate,B001303,8.01
15,Christopher A. Coons,Senate,C001088,8.01
16,Ashley Moody,Senate,M001244,5.39
17,Rick Scott,Senate,S001217,5.39
18,Jon Ossoff,Senate,O000174,0
19,Raphael G. Warnock,Senate,W000790,0
20,Mazie K. Hirono,Senate,H001042,12.59
21,Brian Schatz,Senate,S001194,12.59
22,Mike Crapo,Senate,C000880,18.04
23,James E. Risch,Senate,R000584,18.04
24,Tammy Duckworth,Senate,D000622,6.34
25,Richard J. Durbin,Senate,D000563,6.34
26,Jim Banks,Senate,B001299,9.29
27,Todd Young,Senate,Y000064,9.29
28,Joni Ernst,Senate,E000295,6.09
29,Chuck Grassley,Senate,G000386,6.09
30,Roger Marshall,Senate,M001198,8.03
31,Jerry Moran,Senate,M000934,8.03
32,Mitch McConnell,Senate,M000355,14.94
33,Rand Paul,Senate,P000603,14.94
34,Bill Cassidy,Senate,C001075,10.75
35,John Kennedy,Senate,K000393,10.75
36,Susan M. Collins,Senate,C001035,0
37,"Angus S. King, Jr.",Senate,K000383,0
38,Angela D. Alsobrooks,Senate,A000382,15.32
39,Chris Van Hollen,Senate,V000128,15.32
40,Edward J. Markey,Senate,M000133,13.99
41,Elizabeth Warren,Senate,W000817,13.99
42,Gary C. Peters,Senate,P000595,0
43,Elissa Slotkin,Senate,S001208,0
44,Amy Klobuchar,Senate,K000367,2.53
45,Tina Smith,Senate,S001203,2.53
46,Cindy Hyde-Smith,Senate,H001079,10.78
47,Roger F. Wicker,Senate,W000437,10.78
48,Josh Hawley,Senate,H001089,8.97
49,Eric Schmitt,Senate,S001227,8.97
50,Steve Daines,Senate,D000618,9.82
51,Tim Sheehy,Senate,S001232,9.82
52,Deb Fischer,Senate,F000463,10.27
53,Pete Ricketts,Senate,R000618,10.27
54,Catherine Cortez Masto,Senate,C001113,0
55,Jacky Rosen,Senate,R000608,0
56,Margaret Wood Hassan,Senate,H001076,1.99
57,Jeanne Shaheen,Senate,S001181,1.99
58,Cory A. Booker,Senate,B001288,4.27
59,Andy Kim,Senate,K000394,4.27
60,Martin Heinrich,Senate,H001046,3.68
61,Ben Ray Lujan,Senate,L000570,3.68
62,Kirsten E. Gillibrand,Senate,G000555,7.69
63,Charles E. Schumer,Senate,S000148,7.69
64,Ted Budd,Senate,B001305,1.4
65,Thomas Tillis,Senate,T000476,1.4
66,Kevin Cramer,Senate,C001096,18.33
67,John Hoeven,Senate,H001061,18.33
68,Jon Husted,Senate,H001104,5.27
69,Bernie Moreno,Senate,M001242,5.27
70,James Lankford,Senate,L000575,17.34
71,Markwayne Mullin,Senate,M001190,17.34
72,Jeff Merkley,Senate,M001176,7.65
73,Ron Wyden,Senate,W000779,7.65
74,John Fetterman,Senate,F000479,0
75,David McCormick,Senate,M001243,0.51
76,Jack Reed,Senate,R000122,7.96
77,Sheldon Whitehouse,Senate,W000802,7.96
78,Lindsey Graham,Senate,G000359,8.28
79,Tim Scott,Senate,S001184,8.28
80,Mike Rounds,Senate,R000605,14.57
81,John Thune,Senate,T000250,14.57
82,Marsha Blackburn,Senate,B001243,14.26
83,Bill Hagerty,Senate,H000601,14.26
84,John Cornyn,Senate,C001056,5.92
85,Ted Cruz,Senate,C001098,5.92
86,John R. Curtis,Senate,C001114,11.01
87,Mike Lee,Senate,L000577,11.01
88,Bernard Sanders,Senate,S000033,0
89,Peter Welch,Senate,W000800,16.86
90,Tim Kaine,Senate,K000384,3.49
91,Mark R. Warner,Senate,W000805,3.49
92,Maria Cantwell,Senate,C000127,9.58
93,Patty Murray,Senate,M001111,9.58
94,Shelley Moore Capito,Senate,C001047,20.96
95,James C. Justice,Senate,J000312,20.96
96,Tammy Baldwin,Senate,B001230,0
97,Ron Johnson,Senate,J000293,0.25
98,John Barrasso,Senate,B001261,23.23
99,Cynthia M. Lummis,Senate,L000571,23.23
